chain,item,calories,total_fat
Sonic,Jr. Deluxe Cheeseburger,450,28
Sonic,Jr. Double Cheeseburger,600,38
Sonic,Sonic Bacon Cheeseburger (w/mayo),870,59
Sonic,Sonic Burger W/ Mustard,640,37
Sonic,Sonic Burger W/ Ketchup,650,37
Sonic,Sonic Burger W/ Mayonnaise,740,48
Sonic,Sonic Cheeseburger W/ Mustard,710,43
Sonic,Sonic Cheeseburger W/ Ketchup,720,43
Sonic,Sonic Cheeseburger W/ Mayonnaise,800,54
Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),1280,92
Sonic,Super Sonic Double Cheeseburger W/ Mustard,1120,76
Sonic,Super Sonic Double Cheeseburger W/ Ketchup,1130,76
Sonic,Super Sonic Double Cheeseburger W/ Mayo,1220,87
Sonic,Super Sonic Jalapeno Double Cheeseburger,1120,76
Sonic,Veggie Burger W/ Ketchup,450,14
Sonic,Veggie Burger With Mustard,450,14
Sonic,Veggie Burger W/ Mustard,450,14
Sonic,Grilled Asiago Caesar Chicken Club Sandwich,610,30
Sonic,Crispy Asiago Caesar Chicken Club Sandwich,680,39
Sonic,Grilled Chicken Sandwich,430,20
Sonic,Crispy Chicken Sandwich,570,33
Sonic,Chicken Strip Sandwich,450,24
Sonic,3 Piece Crispy Chicken Tender Dinner,280,14
Sonic,5 Piece Crispy Chicken Tender Dinner,470,24
Sonic,Deluxe Ultimate Chicken Sandwich,740,39
Sonic,Buffalo Dunked Ultimate Chicken Sandwich,1000,61
Sonic,Garlic Parmesan Dunked Ultimate Chicken Sandwich,1350,100
Sonic,Small Jumbo Popcorn Chicken,380,22
Sonic,Large Jumbo Popcorn Chicken,560,32
Sonic,Small Spicy Jumbo Popcorn Chicken,350,17
Sonic,Large Spicy Jumbo Popcorn Chicken,610,30
Sonic,3 Piece Super Crunch Chicken Strip Dinner,970,46
Sonic,4 Piece Super Crunch Chicken Strip Dinner,1080,51
Sonic,5 Piece Super Crunch Chicken Strip Dinner,1190,57
Sonic,3 Piece Super Crunch Chicken Strips,330,16
Sonic,4 Piece Super Crunch Chicken Strips,440,21
Sonic,5 Piece Super Crunch Chicken Strips,550,26
Sonic,Traditional Ultimate Chicken Sandwich,730,39
Sonic,Ultimate Chicken Club,100,64
Sonic,"All Beef All-american Style Dog – 6""",370,18
Sonic,"All Beef Chicago Dog – 6""",430,20
Sonic,"All Beef Chili Cheese Coney – 6""",410,26
Sonic,"All Beef New York Dog – 6""",340,19
Sonic,"All Beef Regular Hot Dog – 6""",320,18
Sonic,Cheesy Bacon Pretzel Dog - 6 In.,500,26
Sonic,Corn Dog,210,11
Sonic,Footlong Quarter Pound Coney,830,54
Sonic,The Original Pretzel Dog,320,18
Arbys,Arby's Melt,330,11
Arbys,Arby-Q Sandwich,400,10
Arbys,Beef 'n Cheddar Classic,450,20
Arbys,Beef 'n Cheddar Mid,630,32
Arbys,Bourbon BBQ Brisket Sandwich,650,33
Arbys,Bourbon BBQ Chicken Sandwich,690,31
Arbys,Bourbon BBQ Steak Sandwich,690,31
Arbys,Buttermilk Buffalo Chicken Sandwich,540,24
Arbys,Buttermilk Chicken Bacon & Swiss,650,31
Arbys,Buttermilk Chicken Cordon Bleu Sandwich,690,35
Arbys,Buttermilk Crispy Chicken Sandwich,550,26
Arbys,Classic French Dip & Swiss/Au Jus,540,23
Arbys,Classic Roast Beef,360,14
Arbys,Double Roast Beef,510,24
Arbys,Fire-Roasted Philly Steak,640,32
Arbys,Grand Turkey Club,480,24
Arbys,Greek Gyro,710,44
Arbys,Half Pound Beef 'n Cheddar Sandwich,740,39
Arbys,Half Pound French Dip & Swiss,750,36
Arbys,Half Pound Roast Beef Sandwich,610,30
Arbys,Ham & Swiss Melt,300,9
Arbys,Loaded Italian Sandwich,680,40
Arbys,Pecan Chicken Salad Flatbread,710,46
Arbys,Pecan Chicken Salad Sandwich,840,44
Arbys,2 piece Prime-Cut Chicken Tenders,240,11
Arbys,3 piece Prime-Cut Chicken Tenders,360,17
Arbys,5 piece Prime-Cut Chicken Tenders,600,28
Arbys,Reuben Sandwich,680,31
Arbys,Roast Beef Gyro,550,29
Arbys,Roast Turkey & Swiss Sandwich,710,28
Arbys,Roast Turkey & Swiss Wrap,520,27
Arbys,"Roast Turkey, Ranch & Bacon Sandwich",800,34
Arbys,"Roast Turkey, Ranch & Bacon Wrap",620,34
Arbys,Smoke Mountain w/ Beef Short Rib,740,35
Arbys,Smokehouse Beef Short Rib Sandwich,590,59
Arbys,Smokehouse Brisket,600,35
Arbys,Super Roast Beef,430,17
Arbys,Three Cheese Steak Sandwich,650,36
Arbys,Triple Decker Sandwich,1030,51
Arbys,Turkey Avocado Club,730,28
Arbys,Turkey Gyro,470,20
Arbys,Ultimate BLT,980,55
Arbys,Buffalo Chicken Slider,290,13
Arbys,Chicken Tender 'n Cheese Slider,290,12
Arbys,Corned Beef 'n Cheese Slider,220,9
Arbys,Ham 'n Cheese Slider,210,8
Arbys,Jalapeno Roast Beef 'n Cheese Slider,240,11
Arbys,Pizza Slider,300,17
Arbys,Roast Beef 'n Cheese Slider,240,11
Arbys,Turkey 'n Cheese Slider,200,7
Arbys,Chopped Side Salad,70,5
Arbys,Crispy Chicken Farmhouse Salad,430,24
Arbys,Greek Gyro Salad,420,37
Arbys,Roast Turkey Farmhouse Salad,230,13
Arbys,Super Greek Salad,720,53
Burger King,American Brewhouse King,1550,126
Burger King,Bacon & Swiss Sourdough King,1000,65
Burger King,Bacon Cheeseburger,330,16
Burger King,Bacon Cheeseburger Deluxe,290,14
Burger King,Bacon King,1040,48
Burger King,Bacon King Jr,730,39
Burger King,BBQ Bacon King,1100,75
Burger King,Cheeseburger,300,14
Burger King,Double Bacon Cheeseburger,520,31
Burger King,Double Cheeseburger,450,26
Burger King,Double Hamburger,360,18
Burger King,Double Quarter Pound King,900,54
Burger King,Extra Long Cheeseburger,580,33
Burger King,Farmhouse King,1220,80
Burger King,Hamburger,260,10
Burger King,Homestyle Cheeseburger,550,27
Burger King,Jalapeno King Sandwich,990,65
Burger King,Mushroom & Swiss King,940,63
Burger King,Rodeo Burger,310,13
Burger King,Rodeo King,1250,82
Burger King,Sourdough King Single,730,43
Burger King,Sourdough King Double,970,61
Burger King,Steakhouse King,1100,74
Burger King,Bacon & Cheese Whopper,770,48
Burger King,DOUBLE WHOPPER w/o Cheese,900,57
Burger King,DOUBLE WHOPPER w/ Cheese,990,65
Burger King,WHOPPER w/o Cheese,660,40
Burger King,WHOPPER w/ Cheese,760,47
Burger King,WHOPPER JR. w/o Cheese,340,19
Burger King,WHOPPER JR. w/ Cheese,380,23
Burger King,Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing,590,40
Burger King,Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,720,50
Burger King,Chicken BLT Salad w/ Grilled Chicken,550,37
Burger King,Chicken BLT Salad w/ Crispy Chicken,690,48
Burger King,Chicken Caesar Salad w/ Grilled Chicken,530,32
Burger King,Chicken Caesar Salad w/ Crispy Chicken,670,43
Burger King,"Chicken, Apple & Cranberry Salad w/ Grilled Chicken",560,30
Burger King,"Chicken, Apple & Cranberry Salad w/ Crispy Chicken",700,41
Burger King,"Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing",320,14
Burger King,"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",450,24
Burger King,Side Caesar Salad with dressing,220,20
Burger King,Side Garden Salad and Avocado Ranch Dressing,230,21
Burger King,Bacon Cheddar Ranch Crispy Chicken Sandwich,830,52
Burger King,BBQ Bacon Crispy Chicken Sandwich,440,27
Burger King,Big Fish Sandwich,530,27
Burger King,BK VEGGIE Burger,410,16
Burger King,Chicken Burger,480,25
Burger King,Chicken Cordon Bleu Sandwich,730,39
Burger King,Chicken Fries,290,17
Burger King,4 Piece Chicken Nuggets,190,11
Burger King,6 Piece Chicken Nuggets,290,17
Burger King,20 Piece Chicken Nuggets,950,55
Burger King,Chicken Nuggets (10pc),470,29
Burger King,Chicken Parmesan Sandwich,570,25
Burger King,Crispy Buffalo Chicken Melt,580,28
Burger King,Crispy Chicken Jr.,430,28
Burger King,Crispy Chicken Sandwich,670,41
Burger King,Grilled Chicken Sandwich,470,19
Burger King,Grilled Chili Cheese Dog,330,19
Burger King,Grilled Hot Dog,310,16
Burger King,Jalapeno Chicken Fries,300,18
Burger King,Original Chicken Sandwich,630,39
Burger King,Pretzel Chicken Fries,340,21
Burger King,Rodeo Crispy Chicken Sandwich,410,17
Burger King,Sourdough Chicken Club,840,51
Burger King,4 Piece Spicy Chicken Nuggets,210,15
Burger King,Spicy Chicken Nuggets,530,37
Burger King,Spicy Crispy Chicken Jr.,410,25
Burger King,Spicy Crispy Chicken Sandwich,700,42
Burger King,Spicy Crispy Jalapeno Chicken Sandwich,760,45
Dairy Queen,1/2 lb. FlameThrower® GrillBurger,1000,74
Dairy Queen,1/2 lb. GrillBurger with Cheese,800,51
Dairy Queen,1/4 lb. Bacon Cheese GrillBurger,630,37
Dairy Queen,1/4 lb. GrillBurger with Cheese,540,30
Dairy Queen,1/4 lb. Mushroom Swiss GrillBurger,570,35
Dairy Queen,Original Cheeseburger,400,18
Dairy Queen,Original Double Cheeseburger,630,34
Dairy Queen,4 Piece Chicken Strip Basket w/ Country Gravy,1030,53
Dairy Queen,6 Piece Chicken Strip Basket w/ Country Gravy,1260,66
Dairy Queen,Bacon Cheese Dog,420,26
Dairy Queen,Cheese Dog,390,24
Dairy Queen,Chili Cheese Dog,380,24
Dairy Queen,Chili Dog,330,20
Dairy Queen,Hot Dog,290,17
Dairy Queen,Relish Dog,350,20
Dairy Queen,Barbecue Pork Sandwich,310,9
Dairy Queen,Breaded Mushrooms,250,9
Dairy Queen,Regular Cheese Curds,550,45
Dairy Queen,Large Cheese Curds,1050,75
Dairy Queen,Chili Cheese Mega Dog,760,49
Dairy Queen,Corn Dog,260,15
Dairy Queen,Crispy Fish Sandwich,470,22
Dairy Queen,Deluxe Cheeseburger,400,18
Dairy Queen,Deluxe Double Cheeseburger,640,34
Dairy Queen,Deluxe Double Hamburger,540,26
Dairy Queen,Deluxe Hamburger,350,14
Dairy Queen,DQ Ultimate® Burger,780,48
Dairy Queen,Pork Tenderloin Sandwich,580,34
Dairy Queen,Steak Finger Basket,910,48
Dairy Queen,3 chicken strips Chicken Strips,350,20
Dairy Queen,Chicken Bacon Ranch Sandwich,500,20
Dairy Queen,Chicken Mozzarella Sandwich,640,25
Dairy Queen,Crispy Chicken BLT Salad,520,31
Dairy Queen,Crispy Chicken Garden Greens Salad,280,13
Dairy Queen,Crispy Chicken Sandwich,600,30
Dairy Queen,Crispy Chicken Wrap,350,21
Dairy Queen,Grilled Chicken BLT Salad,380,19
Dairy Queen,Grilled Chicken Garden Greens Salad,150,2
Dairy Queen,Grilled Chicken Sandwich,360,15
Dairy Queen,Grilled Chicken Wrap,280,15
Dairy Queen,Side Salad,20,0
Dairy Queen,Turkey BLT Sandwich,550,26
Subway,"6"" B.L.T.",320,9
Subway,Footlong B.L.T.,640,18
Subway,"6"" BBQ Rib Sandwich",430,18
Subway,Footlong BBQ Rib Sandwich,860,36
Subway,"6"" Big Hot Pastrami",580,31
Subway,Footlong Big Hot Pastrami,1160,62
Subway,"6"" Big Philly Cheesesteak",500,17
Subway,Footlong Big Philly Cheesesteak,1000,34
Subway,Kids Mini Sub Black Forest Ham,180,3
Subway,"6"" Black Forest Ham",290,5
Subway,Footlong Black Forest Ham,580,10
Subway,"6"" Carved Turkey",330,5
Subway,Footlong Carved Turkey,660,10
Subway,"6"" Carved Turkey & Bacon w/ Cheese",570,26
Subway,Footlong Carved Turkey & Bacon w/ Cheese,1140,52
Subway,"6"" Chicken & Bacon Ranch Melt",570,28
Subway,Footlong Chicken & Bacon Ranch Melt,1140,56
Subway,"6"" Chicken Pizziola Melt",460,16
Subway,Footlong Chicken Pizziola Melt,920,32
Subway,"6"" Cold Cut Combo",370,13
Subway,Footlong Cold Cut Combo,740,26
Subway,"6"" Corned Beef Reuben",470,15
Subway,Footlong Corned Beef Reuben,940,30
Subway,"6"" Italian B.M.T.",410,16
Subway,Footlong Italian B.M.T.,820,32
Subway,"6"" Italian Hero",550,29
Subway,Footlong Italian Hero,1100,58
Subway,"6"" Meatball Marinara",480,18
Subway,Footlong Meatball Marinara,960,36
Subway,"6"" Oven Roasted Chicken",320,5
Subway,Footlong Oven Roasted Chicken,640,10
Subway,Kids Mini Sub Roast Beef,200,3
Subway,"6"" Roast Beef",320,5
Subway,Footlong Roast Beef,640,10
Subway,"6"" Rotisserie Style Chicken",350,6
Subway,Footlong Rotisserie Style Chicken,700,12
Subway,"6"" Spicy Italian",480,24
Subway,Footlong Spicy Italian,960,48
Subway,"6"" Steak and Cheese",380,10
Subway,Footlong Steak and Cheese,760,20
Subway,"6"" Subway Club",310,5
Subway,Footlong Subway Club,620,10
Subway,"6"" Subway Melt (includes cheese)",370,11
Subway,Footlong Subway Melt (includes cheese),740,22
Subway,"6"" Subway Seafood Sensation",420,19
Subway,Footlong Subway Seafood Sensation,840,38
Subway,"6"" Sweet Onion Chicken Teriyaki",380,5
Subway,Footlong Sweet Onion Chicken Teriyaki,760,10
Subway,"6"" Tuna",470,24
Subway,Footlong Tuna,940,48
Subway,"6"" Turkey & Bacon Avocado",390,13
Subway,Footlong Turkey & Bacon Avocado,780,26
Subway,Kids Mini Sub Turkey Breast,180,2
Subway,"6"" Turkey Breast",280,4
Subway,Footlong Turkey Breast,560,8
Subway,"6"" Turkey Breast & Ham",280,4
Subway,Footlong Turkey Breast & Ham,560,8
Subway,"6"" Turkey Italiano Melt (with Provolone)",490,24
Subway,Footlong Turkey Italiano Melt (with Provolone),980,48
Subway,Kids Mini Sub Veggie Delite,150,2
Subway,"6"" Veggie Delite",230,3
Subway,Footlong Veggie Delite,460,6
Subway,"6"" Veggie Patty",390,7
Subway,Footlong Veggie Patty,780,14
Subway,Autumn Carved Turkey Salad,300,9
Subway,B.L.T. Salad,150,8
Subway,Big Hot Pastrami Melt Salad,400,29
Subway,Big Philly Cheesesteak Salad,330,16
Subway,Black Forest Ham Salad,110,3
Subway,Buffalo Chicken Salad (with Ranch dressing),360,26
Subway,Carved Turkey & Bacon w/ Cheese Salad,280,12
Subway,Carved Turkey Salad,150,4
Subway,Chicken & Bacon Ranch Melt Salad (includes Ranch dressing),510,38
Subway,Cold Cut Combo Salad,180,11
Subway,Double Chicken Salad,220,5
Subway,Italian B.M.T.® Salad,230,15
Subway,Italian Hero Salad,230,15
Subway,Meatball Marinara Salad,310,17
Subway,Oven Roasted Chicken Salad,140,3
Subway,Roast Beef Salad,140,4
Subway,Spicy Italian Salad,310,23
Subway,Steak & Cheese Salad,210,8
Subway,Subway Club Salad,140,4
Subway,Subway Melt® Salad,200,10
Subway,Sweet Onion Chicken Teriyaki Salad,200,3
Subway,Tuna Salad,310,24
Subway,Turkey Breast & Ham Salad,110,3
Subway,Turkey Breast Salad,110,2
Subway,Veggie Delite Salad,50,1
Subway,Chipotle Southwest Steak & Cheese Wrap,760,37
Subway,Rotisserie-Style Chicken Caesar Wrap,730,34
Subway,"Turkey, Bacon & Guacamole Wrap",810,42
Subway,Cheese & Veggies Pizza,740,25
Subway,Cheese Pizza,680,22
Subway,Pepperoni Pizza,790,32
Subway,Sausage Pizza,820,34
Taco Bell,1/2 lb.* Cheesy Potato Burrito,540,26
Taco Bell,1/2 lb.* Combo Burrito,460,18
Taco Bell,7-Layer Burrito,510,19
Taco Bell,Bean Burrito,370,11
Taco Bell,Beefy 5-Layer Burrito,550,22
Taco Bell,Beefy Fritos® Burrito,440,18
Taco Bell,Black Bean Burrito,410,12
Taco Bell,Burrito Supreme® – Beef,420,16
Taco Bell,Burrito Supreme® - Chicken,390,12
Taco Bell,Burrito Supreme® - Steak,390,13
Taco Bell,Cantina Power Burrito - Chicken,760,27
Taco Bell,Cantina Power Burrito - Steak,780,28
Taco Bell,Cantina Power Burrito - Veggie,740,26
Taco Bell,Cheesy Bean and Rice Burrito,420,17
Taco Bell,Chili Cheese Burrito,380,17
Taco Bell,Chicken Crunchy Cheesy Core Burrito,610,24
Taco Bell,Steak Crunchy Cheesy Core Burrito,610,24
Taco Bell,Beef Crunchy Cheesy Core Burrito,630,26
Taco Bell,Loaded Taco Burrito,550,29
Taco Bell,Chicken Quesarito,620,30
Taco Bell,Steak Quesarito,630,31
Taco Bell,Beef Quesarito,650,34
Taco Bell,Shredded Chicken Burrito,400,18
Taco Bell,Smothered Burrito - Beef,710,35
Taco Bell,Smothered Burrito - Shredded Chicken,650,28
Taco Bell,Smothered Burrito - Steak,670,29
Taco Bell,Chicken Spicy Cheesy Core Burrito,540,20
Taco Bell,Steak Spicy Cheesy Core Burrito,550,21
Taco Bell,Beef Spicy Cheesy Core Burrito,570,23
Taco Bell,Triple Melt Burrito,410,16
Taco Bell,XXL Grilled Stuft Burrito - Beef,880,42
Taco Bell,XXL Grilled Stuft Burrito - Chicken,830,35
Taco Bell,XXL Grilled Stuft Burrito - Steak,820,36
Taco Bell,Chicken Soft Taco,170,6
Taco Bell,Cool Ranch® Doritos® Double Decker® Taco,320,14
Taco Bell,Cool Ranch® Doritos® Locos Taco,160,10
Taco Bell,Cool Ranch® Doritos® Locos Taco Supreme,200,12
Taco Bell,Crunchy Taco,170,10
Taco Bell,Crunchy Taco Supreme®,200,12
Taco Bell,Double Decker® Taco,320,14
Taco Bell,DOUBLE DECKER® Taco Supreme®,350,16
Taco Bell,Spicy Sweet Double Stacked Taco,340,18
Taco Bell,Cool Ranch Habanero Double Stacked Taco,350,20
Taco Bell,Nacho Crunch Double Stacked Taco,380,19
Taco Bell,Fiery Doritos® Double Decker® Taco,320,13
Taco Bell,Fiery Doritos® Locos Taco,170,10
Taco Bell,Fiery Doritos® Locos Taco Supreme,200,12
Taco Bell,Grilled Steak Soft Taco,250,14
Taco Bell,Nacho Cheese Doritos® Double Decker® Taco,320,13
Taco Bell,Nacho Cheese Doritos® Locos Tacos,170,9
Taco Bell,Nacho Cheese Doritos® Locos Tacos Supreme,200,11
Taco Bell,Soft Taco Supreme® – Beef,230,11
Taco Bell,Soft Taco-Beef,200,9
Taco Bell,Spicy Potato Soft Taco,250,13
Taco Bell,Chalupa Supreme® - Chicken,340,18
Taco Bell,Chalupa Supreme® - Steak,340,18
Taco Bell,Chalupa Supreme®–Beef,370,21
Taco Bell,Double Chalupa,600,35
Taco Bell,Wild Naked Chicken Chalupa,420,28
Taco Bell,Mild Naked Chicken Chalupa,440,30
Taco Bell,Spicy Double Chalupa,600,35
Taco Bell,Fresco Bean Burrito,350,9
Taco Bell,Fresco Burrito Supreme® – Chicken,340,8
Taco Bell,Fresco Burrito Supreme® – Steak,340,9
Taco Bell,Fresco Chicken Soft Taco,150,4
Taco Bell,Fresco Crunchy Taco,140,8
Taco Bell,Fresco Grilled Steak Soft Taco,150,4
Taco Bell,Fresco Soft Taco,170,7
Taco Bell,Cheesy Gordita Crunch,490,29
Taco Bell,Doritos® Cheesy Gordita Crunch - Cool Ranch,490,28
Taco Bell,Doritos® Cheesy Gordita Crunch - Fiery,490,28
Taco Bell,Doritos® Cheesy Gordita Crunch - Nacho Cheese,490,28
Taco Bell,Double Cheesy Gordita Crunch,570,32
Taco Bell,Gordita Supreme® – Beef,300,14
Taco Bell,Gordita Supreme® - Chicken,270,10
Taco Bell,Gordita Supreme® - Steak,270,11
Taco Bell,Nacho Fries Bellgrande,710,41
Taco Bell,Nachos BellGrande®,760,39
Taco Bell,Nachos Supreme,430,23
Taco Bell,Triple Layer Nachos,320,15
Taco Bell,Triple Melt Nachos,260,16
Taco Bell,Beefy Cheddar Crunchwrap Slider,410,19
Taco Bell,Beefy Mini Quesadilla,210,12
Taco Bell,Beefy Nacho Griller,420,19
Taco Bell,BLT Crunchwrap Slider,430,23
Taco Bell,Cantina Power Bowl - Chicken,560,22
Taco Bell,Cantina Power Bowl - Steak,580,23
Taco Bell,Cantina Power Bowl - Veggie,540,21
Taco Bell,Cheese Quesadilla,480,27
Taco Bell,Cheese Roll-Up,190,9
Taco Bell,Chicken Quesadilla,520,28
Taco Bell,Chickstar,620,37
Taco Bell,Chili Cheese Burrito,380,17
Taco Bell,Chipotle Crispy Chicken Griller,290,18
Taco Bell,Crispy Chicken Quesadilla,650,37
Taco Bell,Crunchwrap Supreme®,540,21
Taco Bell,Double Tostada,270,11
Taco Bell,Express Taco Salad w/ Chips,580,29
Taco Bell,Loaded Potato Griller,470,22
Taco Bell,Mexican Pizza,540,31
Taco Bell,MexiMelt®,270,14
Taco Bell,Steak Quesalupa,440,23
Taco Bell,Chicken Quesalupa,440,23
Taco Bell,Beef Quesalupa,460,26
Taco Bell,Shredded Chicken Mini Quesadilla,180,8
Taco Bell,Spicy Chicken Crunchwrap Slider,400,20
Taco Bell,Spicy Tostada,200,10
Taco Bell,Stacker,390,18
Taco Bell,Steak Quesadilla,520,28
Taco Bell,Original Triple Double Crunchwrap,700,30
Taco Bell,Spicy Triple Double Crunchwrap,780,38
Taco Bell,Express Taco Salad w/ Chips,580,29
Taco Bell,Fiesta Taco Salad-Beef,780,42
Taco Bell,Fiesta Taco Salad-Chicken,720,35
Taco Bell,Fiesta Taco Salad-Steak,720,36
